site,treatment,plot,tree,year,Earlywood_Radius_mm,Earlywood_cumulative_radius_mm,Earlywood_BAI_mmsq,Earlywood_cumulative_BAI,Earlywood_cumularive_BAI_ha_m2,Latewood_radius_mm,Latewood_cumulative_radius,Latewood_BAI,Latewood_cumulative_BAI,Latewood_cumulative_BAI_ha_m2,Totalwood_radius_mm,Totalwood_cumulative_radius_mm,Totalwood_BAI,Totalwood_cumulative_BAI,Totalwood_cumulative_BAI_ha_m2
Elkhorn,control,8,3,2006,0.0865,4.6185,0.023494265,66.97790267,112522.8765,0.053,1.2985,0.00882026,5.294361065,8894.526589,0.2455,5.7745,0.189248585,104.7028298,175900.7541
Elkhorn,control,8,3,2007,0.1635,4.782,0.083939265,71.80402536,120630.7626,0.105,1.4035,0.0346185,6.185210465,10391.15358,0.139,5.9135,0.06066794,109.8041743,184471.0128
Elkhorn,control,8,3,2008,0.1,4.882,0.0314,74.83852136,125728.7159,0,1.4035,0,6.185210465,10391.15358,0.2685,6.182,0.226369665,120.0017694,201602.9726
Elkhorn,control,8,17,1988,0.1615,0.1615,0.081898265,0.081898265,137.5890852,0.0225,0.0225,0.001589625,0.001589625,2.67057,0,0,0,0,0
Elkhorn,control,8,17,1989,0.085,0.2465,0.0226865,0.190793465,320.5330212,0.025,0.0475,0.0019625,0.007084625,11.90217,0.184,0.184,0.10630784,0.10630784,178.5971712
Elkhorn,control,8,17,1990,0.099,0.3455,0.03077514,0.374822585,629.7019428,0.0285,0.076,0.002550465,0.01813664,30.4695552,0.109,0.293,0.03730634,0.26956586,452.8706448
Elkhorn,control,8,17,1991,0.1165,0.462,0.042616865,0.67021416,1125.959789,0.028,0.104,0.00246176,0.03396224,57.0565632,0.1275,0.4205,0.051044625,0.555215585,932.7621828
Elkhorn,control,8,17,1992,0.11,0.572,0.037994,1.02735776,1725.961037,0.0505,0.1545,0.008007785,0.074952585,125.9203428,0.1445,0.565,0.065563985,1.0023665,1683.97572
Elkhorn,control,8,17,1993,0.181,0.753,0.10286954,1.78040826,2991.085877,0.048,0.2025,0.00723456,0.128759625,216.31617,0.1605,0.7255,0.080887185,1.652739785,2776.602839
Elkhorn,control,8,17,1994,0.155,0.908,0.0754385,2.58881696,4349.212493,0.0435,0.246,0.005941665,0.19002024,319.2340032,0.2285,0.954,0.163946465,2.85776424,4801.043923
Elkhorn,control,8,17,1995,0.1625,1.0705,0.082915625,3.598346585,6045.222263,0.0265,0.2725,0.002205065,0.233164625,391.71657,0.1985,1.1525,0.123723065,4.170724625,7006.81737
Elkhorn,control,8,17,1996,0.1355,1.206,0.057651185,4.56692904,7672.440787,0.0145,0.287,0.000660185,0.25863866,434.5129488,0.1885,1.341,0.111571265,5.64660234,9486.291931
Elkhorn,control,8,17,1997,0.1265,1.3325,0.050247065,5.575246625,9366.41433,0.029,0.316,0.00264074,0.31354784,526.7603712,0.15,1.491,0.07065,6.98047434,11727.19689
Elkhorn,control,8,17,1998,0.182,1.5145,0.10400936,7.202250185,12099.78031,0.013,0.329,0.00053066,0.33987674,570.9929232,0.1555,1.6465,0.075925985,8.512421465,14300.86806
Elkhorn,control,8,17,1999,0.101,1.6155,0.03203114,8.194898385,13767.42929,0.0275,0.3565,0.002374625,0.399069665,670.4370372,0.1945,1.841,0.118786985,10.64234234,17879.13513
Elkhorn,control,8,17,2000,0.0965,1.712,0.029240465,9.20316416,15461.31579,0.011,0.3675,0.00037994,0.424076625,712.44873,0.1285,1.9695,0.051848465,12.17984099,20462.13286
Elkhorn,control,8,17,2001,0.0655,1.7775,0.013471385,9.920849625,16667.02737,0.0205,0.388,0.001319585,0.47270816,794.1497088,0.107,2.0765,0.03594986,13.53921607,22745.883
Elkhorn,control,8,17,2002,0.0825,1.86,0.021371625,10.863144,18250.08192,0.02,0.408,0.001256,0.52269696,878.1308928,0.085,2.1615,0.0226865,14.67033827,24646.16829
Elkhorn,control,8,17,2003,0.083,1.943,0.02163146,11.85428186,19915.19352,0.0275,0.4355,0.002374625,0.595533185,1000.495751,0.1025,2.264,0.032989625,16.09468544,27039.07154
Elkhorn,control,8,17,2004,0.1015,2.0445,0.032349065,13.12513799,22050.23182,0.022,0.4575,0.00151976,0.657221625,1104.13233,0.1105,2.3745,0.038340185,17.70410579,29742.89773
Elkhorn,control,8,17,2005,0.1145,2.159,0.041166185,14.63642234,24589.18953,0.0215,0.479,0.001451465,0.72044474,1210.347163,0.1235,2.498,0.047892065,19.59361256,32917.2691
Elkhorn,control,8,17,2006,0.1075,2.2665,0.036286625,16.13024987,27098.81978,0.0275,0.5065,0.002374625,0.805542665,1353.311677,0.1355,2.6335,0.057651185,21.77691187,36585.21194
Elkhorn,control,8,17,2007,0.1035,2.37,0.033636465,17.637066,29630.27088,0.0235,0.53,0.001734065,0.882026,1481.80368,0.135,2.7685,0.0572265,24.06681967,40432.25705
Elkhorn,control,8,17,2008,0.183,2.553,0.10515546,20.46592026,34382.74604,0.0425,0.5725,0.005671625,1.029154625,1728.97977,0.127,2.8955,0.05064506,26.32550959,44226.85611
Elkhorn,control,24,11,1988,0.201,0.201,0.12685914,0.12685914,213.1233552,0.0165,0.0165,0.000854865,0.000854865,1.4361732,0.2175,0.2175,0.148541625,0.148541625,249.54993
Elkhorn,control,24,11,1989,0.1835,0.3845,0.105730865,0.464218385,779.8868868,0.0485,0.065,0.007386065,0.0132665,22.28772,0.232,0.4495,0.16900736,0.634437785,1065.855479
Elkhorn,control,24,11,1990,0.2155,0.6,0.145822385,1.1304,1899.072,0.0685,0.1335,0.014733665,0.055961865,94.0159332,0.2835,0.733,0.252368865,1.68708746,2834.306933
Elkhorn,control,24,11,1991,0.3925,0.9925,0.483736625,3.093076625,5196.36873,0.0445,0.178,0.006217985,0.09948776,167.1394368,0.4365,1.1695,0.598271265,4.294672985,7215.050615
Elkhorn,control,24,11,1992,0.4555,1.448,0.651487985,6.58365056,11060.53294,0.0495,0.2275,0.007693785,0.162514625,273.02457,0.505,1.6745,0.8007785,8.804403785,14791.39836
Elkhorn,control,24,11,1993,0.3275,1.7755,0.336784625,9.898536785,16629.5418,0.0575,0.285,0.010381625,0.2550465,428.47812,0.385,2.0595,0.4654265,13.31843639,22374.97314
Elkhorn,control,24,11,1994,0.3545,2.13,0.394604585,14.245866,23933.05488,0.084,0.369,0.02215584,0.42754554,718.2765072,0.4385,2.498,0.603766265,19.59361256,32917.2691
Elkhorn,control,24,11,1995,0.4855,2.6155,0.740130185,21.48023839,36086.8005,0.124,0.493,0.04828064,0.76317386,1282.132085,0.6095,3.1075,1.166479385,30.32158663,50940.26554
Elkhorn,control,24,11,1996,0.5905,3.206,1.094887385,32.27428904,54220.80559,0.118,0.611,0.04372136,1.17222794,1969.342939,0.708,3.8155,1.57396896,45.71224639,76796.57394
Elkhorn,control,24,11,1997,0.622,3.828,1.21481576,46.01225376,77300.58632,0.153,0.764,0.07350426,1.83280544,3079.113139,0.775,4.5905,1.8859625,66.16824739,111162.6556
